time,open,high,low,close,volume
1521244800000,8260,8348.62,7721.99,7824.8,33110.206329
1521331200000,7824.01,8317.4,7322,8189.99,59488.231711
1521417600000,8189,8705.23,8088.4,8600,55297.084942
1521504000000,8595.01,9050,8280,8909.98,44865.105835
1521590400000,8909.96,9177.01,8750.6,8885,39972.405371
1521676800000,8884.82,9100,8465.1,8722.9,40617.556809
1521763200000,8720,8909,8269,8898.03,39991.007666
1521849600000,8898.04,8999.95,8491,8546.86,35466.609572
1521936000000,8531.25,8669.85,8365.77,8470.15,29001.769316
1522022400000,8470.14,8514.89,7831,8134.23,44033.59566
1522108800000,8134.22,8215.94,7730,7795.51,37427.64805
1522195200000,7795.51,8109,7728,7949.3,26401.33167
1522281600000,7949.3,7975,6941.11,7090.14,54620.915125
1522368000000,7090.16,7292.43,6600.1,6840.23,65306.031976
1522454400000,6840.24,7223.36,6777,6923.91,36868.539087
1522540800000,6922,7049.98,6430,6813.01,44071.430463
1522627200000,6813.01,7125,6765,7056,32123.560072
1522713600000,7063.97,7520,7011.01,7405.21,37787.331811
1522800000000,7405.21,7427.52,6707,6796.1,42227.183804
1522886400000,6796.1,6902,6566.69,6770.76,39029.73146
1522972800000,6770,6850,6500,6601.39,27455.01192
1523059200000,6601.39,7070,6586.28,6895.8,32269.578267
1523145600000,6895.81,7109.13,6880,7018,21427.673165
1523232000000,7011.04,7185,6611,6782.72,34078.297206
1523318400000,6781.55,6890,6656,6843.9,22326.728095
1523404800000,6839.56,6990,6787,6953.79,23997.871177
1523491200000,6953.78,8012.23,6743.2,7923,64861.595987
1523577600000,7922.99,8233.39,7732,7877.41,55044.523148
1523664000000,7877.48,8186,7810,7999.01,31621.286357
1523750400000,8004,8429.54,7999.02,8355,27946.720444
1523836800000,8355.07,8419,7867,8064.92,36664.069715
1523923200000,8064.92,8173.7,7825.4,7885.02,32152.603567
1524009600000,7890.96,8236.43,7868,8173,26969.04457
1524096000000,8173.99,8296,8080,8278,27113.847464
1524182400000,8273.84,8930,8177.09,8856.98,39795.337485
1524268800000,8852.12,9035,8565,8915.31,40872.229909
1524355200000,8915.31,9020.67,8727.68,8787.02,29458.25348
1524441600000,8785.7,8985,8745,8934.01,25838.114709
1524528000000,8934,9731.01,8922,9619.99,46268.790106
